market_id,question,event_title,volume,created_at,end_date
1741777,"Bitcoin Up or Down - March 28, 7:25AM-7:30AM ET","Bitcoin Up or Down - March 28, 7:25AM-7:30AM ET",138238.8685819997,2026-03-27 11:31:57.000000 UTC,2026-03-28 11:30:00.000000 UTC
691260,"Bitcoin Up or Down - November 21, 9AM ET","Bitcoin Up or Down - November 21, 9AM ET",138228.148049,2025-11-19 14:00:00.000000 UTC,2025-11-21 15:00:00.000000 UTC
581483,Bitcoin above $112K on August 27 at 8PM ET?,"Bitcoin above ___ on August 27, 8PM ET?",138227.338088,2025-08-26 13:24:20.000000 UTC,2025-08-28 00:00:00.000000 UTC
698330,"Bitcoin Up or Down - November 25, 9AM ET","Bitcoin Up or Down - November 25, 9AM ET",138223.888244,2025-11-23 14:00:00.000000 UTC,2025-11-25 15:00:00.000000 UTC
1821430,"Bitcoin Up or Down - April 2, 7:00PM-7:05PM ET","Bitcoin Up or Down - April 2, 7:00PM-7:05PM ET",138220.67409699981,2026-04-01 23:07:55.000000 UTC,2026-04-02 23:05:00.000000 UTC
1719138,"Bitcoin Up or Down - March 26, 2:30PM-2:35PM ET","Bitcoin Up or Down - March 26, 2:30PM-2:35PM ET",138218.39933399987,2026-03-25 18:37:00.000000 UTC,2026-03-26 18:35:00.000000 UTC
1036181,"Bitcoin Up or Down - December 28, 3:30AM-3:45AM ET","Bitcoin Up or Down - December 28, 3:30AM-3:45AM ET",138215.207522,2025-12-27 08:31:49.000000 UTC,2025-12-28 08:45:00.000000 UTC
1998211,"Bitcoin Up or Down - April 18, 6AM ET","Bitcoin Up or Down - April 18, 6AM ET",138214.967798,2026-04-16 10:00:01.000000 UTC,2026-04-18 11:00:00.000000 UTC
1721855,"Bitcoin Up or Down - March 26, 6:30PM-6:35PM ET","Bitcoin Up or Down - March 26, 6:30PM-6:35PM ET",138205.26619099992,2026-03-25 22:37:04.000000 UTC,2026-03-26 22:35:00.000000 UTC
982035,"Bitcoin Up or Down - December 21, 12:45PM-1:00PM ET","Bitcoin Up or Down - December 21, 12:45PM-1:00PM ET",138200.528526,2025-12-20 17:47:53.000000 UTC,2025-12-21 18:00:00.000000 UTC
656935,"Will the price of Bitcoin be above $118,000 on November 6?",Bitcoin above ___ on November 6?,138196.140296,2025-10-30 16:00:04.000000 UTC,2025-11-06 17:00:00.000000 UTC
1399038,"Bitcoin Up or Down - February 20, 1:45PM-1:50PM ET","Bitcoin Up or Down - February 20, 1:45PM-1:50PM ET",138190.03166,2026-02-19 18:52:01.000000 UTC,2026-02-20 18:50:00.000000 UTC
1977542,"Bitcoin Up or Down - April 15, 12:45AM-1:00AM ET","Bitcoin Up or Down - April 15, 12:45AM-1:00AM ET",138185.64745900006,2026-04-14 04:51:50.000000 UTC,2026-04-15 05:00:00.000000 UTC
1393785,"Bitcoin Up or Down - February 19, 3:00PM-3:05PM ET","Bitcoin Up or Down - February 19, 3:00PM-3:05PM ET",138179.824675,2026-02-18 20:07:04.000000 UTC,2026-02-19 20:05:00.000000 UTC
703699,"Bitcoin Up or Down - November 26, 12:30PM-12:45PM ET","Bitcoin Up or Down - November 26, 12:30PM-12:45PM ET",138166.163742,2025-11-25 17:32:21.000000 UTC,2025-11-26 17:45:00.000000 UTC
1792300,"Bitcoin Up or Down - March 31, 11:25AM-11:30AM ET","Bitcoin Up or Down - March 31, 11:25AM-11:30AM ET",138164.26226099976,2026-03-30 15:32:08.000000 UTC,2026-03-31 15:30:00.000000 UTC
