trade_date,avg_trade_price,min_trade_price,max_trade_price,daily_trade_count,daily_usd_volume,rolling_7d_avg_volume
2025-01-01,0.023298734177215185,0.014,0.985,790,1353.819999999999,9163.7328571429116
2025-01-02,0.036787209302325624,0.015,0.984,1720,24162.20999999993,11741.177142857181
2025-01-03,0.063823860028182314,0.016,0.983,2129,6203.1999999999916,11163.787142857138
2025-01-04,0.14131048900169202,0.018,0.982,1182,5185.5999999999995,11381.382857142844
2025-01-05,0.025295785440613033,0.018,0.982,1305,2108.6200000000058,11183.732857142844
2025-01-06,0.020347162740899347,0.018,0.982,3736,5174.2599999999611,6549.8371428571236
2025-01-07,0.072810505050505112,0.017,0.982,2475,6276.4500000000262,7209.1657142857021
2025-01-08,0.10136573511543137,0.016,0.983,1646,4448.9199999999983,7651.3228571428444
2025-01-09,0.016361256544502611,0.016,0.017,191,186.45000000000005,4226.2142857142835
2025-01-10,0.0350173199635369,0.016,0.984,1097,2258.0299999999966,3662.61857142857
2025-01-11,0.058094814814814752,0.016,0.984,675,1314.1700000000035,3109.5571428571416
2025-01-12,0.13340770281124498,0.013,0.984,498,3515.9399999999982,3310.6028571428546
2025-01-13,0.01344474034620506,0.013,0.014,751,1653.3899999999962,2807.6214285714314
2025-01-14,0.049761695906432771,0.011,0.988,684,4439.4399999999978,2545.1914285714274
2025-01-15,0.02351757812499999,0.011,0.989,512,2099.1800000000089,2209.514285714286
2025-01-16,0.03154927726675421,0.011,0.988,761,2359.7999999999888,2519.9928571428559
2025-01-17,0.072584140969162991,0.011,0.988,1135,1702.8900000000147,2440.687142857144
2025-01-18,0.043427368421052624,0.011,0.988,1900,1459.8400000000045,2461.4971428571444
2025-01-19,0.043443956167814594,0.011,0.989,1597,1778.4499999999175,2213.2842857142755
2025-01-20,0.021679910464465615,0.012,0.988,1787,648.11000000000524,2069.672857142848
2025-01-21,0.044290268829026931,0.012,0.987,1819,2433.4999999999882,1783.1099999999897
2025-01-22,0.06069822846670736,0.013,0.987,1637,1458.9600000000148,1691.6499999999905
2025-01-23,0.08367072347826103,0.012,0.988,1725,6423.73,2272.2114285714206
2025-01-24,0.014343434343434342,0.013,0.015,198,244.91000000000048,2063.9285714285616
2025-01-25,0.068041933191186885,0.013,0.986,1407,4692.7900000000018,2525.778571428561
2025-01-26,0.0764253679046952,0.013,0.986,1427,6033.8000000000147,3133.6857142857179
2025-01-27,0.19207042253521125,0.013,0.986,71,2296.6,3369.1842857142883
2025-01-28,0.014175000000000002,0.013,0.016,40,104.90999999999998,3036.528571428576
2025-01-29,0.20884338554216864,0.013,0.985,166,4832.0600000000022,3518.4000000000028
2025-01-30,0.17958888888888888,0.018,0.981,90,2345.9100000000008,2935.8542857142884
2025-01-31,0.38664705882352962,0.019,0.98,68,3424.4300000000012,3390.0714285714316
2025-02-01,0.16327653191489364,0.019,0.98,47,1025.4299999999998,2866.1628571428596
2025-02-02,0.11575999999999996,0.019,0.98,50,1173.0199999999995,2171.7657142857147
2025-02-03,0.033880597014925379,0.019,0.98,67,1335.6,2034.4800000000005
2025-02-04,0.09586086956521743,0.019,0.979,115,1166.3699999999992,2186.1171428571433
2025-02-05,0.14237813625304171,0.02,0.98,1233,15789.579999999942,3751.4771428571348
2025-02-06,0.039684103721298512,0.021,0.978001,1263,2559.9999999999995,3782.06142857142
2025-02-07,0.031261648745519705,0.021,0.979,1674,2992.7600000000066,3720.3942857142779
2025-02-08,0.023356825396825435,0.021,0.979,1575,2942.310000000004,3994.2342857142785
2025-02-09,0.12500989459084608,0.021,0.979,1442,9615.9900000000071,5200.372857142851
2025-02-10,0.20023773462002348,0.022,0.977,1658,31603.800000000057,9524.4014285714311
2025-02-11,0.27604361534725663,0.017,0.983,2059,39857.0600000001,15051.642857142873
2025-02-12,0.20913956817185436,0.018,0.981,2281,187974.46999999945,39649.484285714228
2025-02-13,0.064885465505693254,0.021,0.978,1493,6803.7800000000007,40255.738571428519
2025-02-14,0.15139268292682914,0.02,0.979,820,11775.969999999972,41510.4828571428
2025-02-15,0.19409975669099752,0.021,0.978,411,34030.229999999967,45951.614285714219
2025-02-16,0.09088510638297867,0.021,0.978,235,15916.940000000004,46851.749999999935
2025-02-17,0.035819548872180459,0.021,0.978,133,941.73999999999978,42471.455714285643
2025-02-18,0.059476190476190433,0.02,0.979,378,4803.5899999999965,37463.817142857057
2025-02-19,0.08975480769230762,0.021,0.979,1040,219491.17000000013,41966.202857142867
2025-02-20,0.26138920454545461,0.022,0.978,352,39767.009999999958,46675.235714285722
2025-02-21,0.17077961019490265,0.022,0.977,667,143624.30999999997,65510.712857142862
2025-02-22,0.1034316770186335,0.022,0.977,322,90391.030000000013,73562.255714285726
2025-02-23,0.023408163265306127,0.023,0.024,49,930.21999999999991,71421.295714285719
2025-02-24,0.08320390455531454,0.021,0.978,461,32455.229999999974,75923.222857142857
2025-02-25,0.043953367875647679,0.021,0.979,579,122796.12,92779.298571428575
2025-02-26,0.0414888579387187,0.021,0.978,718,233046.93000000002,94715.8357142857
2025-02-27,0.055665484633569795,0.022,0.977,846,289970.48000000004,130459.18857142857
2025-02-28,0.041608044901777434,0.022,0.977,1069,311957.19999999966,154506.74428571423
2025-03-01,0.029955639097744305,0.022,0.977,1330,312266.53999999992,186203.24571428567
2025-03-02,0.028952926208651385,0.022,0.977,786,251939.33000000002,222061.68999999994
2025-03-03,0.036390934844192632,0.021,0.978,353,97254.170000000056,231318.68142857138
2025-03-04,0.054207100591715983,0.022,0.977,676,99335.030000000013,227967.09714285709
2025-03-05,0.36432805429864284,0.027,0.973,884,10262.609999999997,196140.76571428566
2025-03-06,0.29483060109289611,0.021,0.978,183,5350.49,155480.7671428571
2025-03-07,0.023659863945578233,0.023,0.025,147,445.74,110979.13
2025-03-08,0.14361133603238876,0.023,0.977,247,817.92999999999984,66486.471428571444
2025-03-09,0.073833001988071564,0.024,0.975,503,1693.8699999999974,30737.12000000001
2025-03-10,0.36611650485436881,0.024,0.975,103,1697.1399999999987,17086.115714285716
2025-03-11,0.28261706783369783,0.024,0.975,457,4132.489999999998,3485.7528571428556
2025-03-12,0.23305212355212379,0.025,0.976,518,8255.1400000000085,3198.971428571429
2025-03-13,0.32123371647509574,0.027,0.972,261,6824.489999999998,3409.5428571428574
2025-03-14,0.0966058394160584,0.027,0.972,137,790.69999999999959,3458.8228571428572
2025-03-15,0.15970303712036,0.027,0.972,889,10450.96000000001,4834.9700000000012
2025-03-16,0.12168032786885252,0.027,0.972,1098,2635.5400000000045,4969.4942857142878
2025-03-17,0.1532205651491364,0.027,0.972,1274,104054.16999999985,19591.927142857123
2025-03-18,0.048447528187337364,0.027,0.972,1153,1885.6400000000015,19270.948571428555
2025-03-19,0.060123906705539437,0.027,0.973,2058,103715.30000000034,32908.114285714313
2025-03-20,0.027509908944831251,0.027,0.028,1867,2202.1299999999978,32247.777142857172
2025-03-21,0.036256304683479179,0.027,0.972,1943,3085.5200000000036,32575.608571428602
2025-03-22,0.11351797385620893,0.026,0.973,1836,22385.209999999905,34280.501428571442
2025-03-23,0.22756297464074404,0.026,0.973,2366,60176.739999999889,42500.672857142854
2025-03-24,0.052814484126984126,0.025,0.974,2016,3218.0800000000008,28095.517142857163
2025-03-25,0.19986003954214324,0.024,0.975,1922,11860.180000000011,29520.45142857145
2025-03-26,0.22387134546386434,0.024,0.975,1951,14523.750000000027,16778.801428571405
2025-03-27,0.060204685573366258,0.026,0.973,1622,2285.9200000000051,16790.771428571406
2025-03-28,0.086668240850059,0.026,0.973,1694,4465.449999999988,16987.904285714259
2025-03-29,0.044108723135271692,0.026,0.973,1582,2205.3799999999997,14105.071428571417
2025-03-30,0.047931909982688994,0.026,0.973,1733,2575.459999999995,5876.3171428571468
2025-03-31,0.07703774728086997,0.026,0.973,1563,104703.50999999985,20374.235714285696
2025-04-01,0.044595322466335872,0.026,0.974,1411,5297.6899999999932,19436.737142857124
2025-04-02,0.12679601865671633,0.025,0.974,1608,4145.5700000000024,17954.139999999978
2025-04-03,0.025948788546255531,0.025,0.027,1816,1698.12,17870.168571428549
2025-04-04,0.070551047120418833,0.025,0.974,764,1471.4399999999955,17442.452857142835
2025-04-05,0.025598326359832637,0.025,0.026,239,1086.1099999999988,17282.55714285712
2025-04-06,0.0719803921568627,0.024,0.975,204,2265.7099999999991,17238.30714285712
2025-04-07,0.22999999999999979,0.024,0.975,139,1202.2500000000005,2452.4128571428555
2025-04-08,0.17490616621983909,0.017,0.98,373,2658.3699999999972,2075.367142857142
2025-04-09,0.3257923227990967,0.002,0.998,443,3270.1699999999996,1950.3099999999986
2025-04-10,0.26598495488721796,0.003,0.994,133,9593.7200000000012,3078.2528571428561
2025-04-11,0.066855421686747,0.007,0.992,83,2317.7199999999989,3199.1499999999992
2025-04-12,0.13702631578947369,0.007,0.992,38,749.52,3151.065714285714
2025-04-13,0.15201041666666668,0.007,0.992,192,4170.7799999999988,3423.2185714285711
2025-04-14,0.3104132653061229,0.007,0.992,196,8922.3800000000028,4526.0942857142854
2025-04-15,0.10867806841046289,0.001,0.999,497,4168.7599999999984,4741.8642857142859
