market_id,question,hora,trades,volume_usd,preco_medio,preco_min,preco_max
1800047,"Will Bitcoin reach $71,000 on March 31?",2026-03-31 04:00:00.000000 UTC,1,0.0,0.05,0.05,0.05
1800047,"Will Bitcoin reach $71,000 on March 31?",2026-03-31 06:00:00.000000 UTC,1,6.0,0.031,0.031,0.031
1800047,"Will Bitcoin reach $71,000 on March 31?",2026-03-31 07:00:00.000000 UTC,7,279.0,0.8,0.031,0.939
1800047,"Will Bitcoin reach $71,000 on March 31?",2026-03-31 08:00:00.000000 UTC,12,293.0,0.175,0.006,0.99
1800047,"Will Bitcoin reach $71,000 on March 31?",2026-03-31 11:00:00.000000 UTC,2,5.0,0.5,0.02,0.981
1800047,"Will Bitcoin reach $71,000 on March 31?",2026-03-31 12:00:00.000000 UTC,2,2.0,0.508,0.022,0.995
1800047,"Will Bitcoin reach $71,000 on March 31?",2026-03-31 13:00:00.000000 UTC,5,6.0,0.212,0.012,0.988
1800047,"Will Bitcoin reach $71,000 on March 31?",2026-03-31 14:00:00.000000 UTC,1,0.0,0.002,0.002,0.002
1800047,"Will Bitcoin reach $71,000 on March 31?",2026-03-31 15:00:00.000000 UTC,2,0.0,0.004,0.004,0.004
1800047,"Will Bitcoin reach $71,000 on March 31?",2026-03-31 16:00:00.000000 UTC,6,634.0,0.336,0.004,0.974
1800047,"Will Bitcoin reach $71,000 on March 31?",2026-03-31 17:00:00.000000 UTC,39,5532.0,0.726,0.007,0.993
1800047,"Will Bitcoin reach $71,000 on March 31?",2026-03-31 18:00:00.000000 UTC,10,3.0,0.106,0.005,0.992
1800047,"Will Bitcoin reach $71,000 on March 31?",2026-03-31 19:00:00.000000 UTC,6,118.0,0.338,0.01,0.975
1800047,"Will Bitcoin reach $71,000 on March 31?",2026-03-31 20:00:00.000000 UTC,11,228.0,0.902,0.019,0.996
1800047,"Will Bitcoin reach $71,000 on March 31?",2026-03-31 21:00:00.000000 UTC,3,76.0,0.992,0.985,0.996
1800047,"Will Bitcoin reach $71,000 on March 31?",2026-03-31 22:00:00.000000 UTC,2,1985.0,0.993,0.99,0.996
1800047,"Will Bitcoin reach $71,000 on March 31?",2026-03-31 23:00:00.000000 UTC,10,6576.0,0.597,0.001,0.996
1800047,"Will Bitcoin reach $71,000 on March 31?",2026-04-01 00:00:00.000000 UTC,1,0.0,0.001,0.001,0.001
1800047,"Will Bitcoin reach $71,000 on March 31?",2026-04-01 01:00:00.000000 UTC,4,5.0,0.5,0.001,0.998
1800047,"Will Bitcoin reach $71,000 on March 31?",2026-04-01 02:00:00.000000 UTC,10,60.0,0.799,0.001,0.999
1800056,"Will Bitcoin reach $70,000 on March 31?",2026-03-31 04:00:00.000000 UTC,2,5.0,0.495,0.14,0.85
1800056,"Will Bitcoin reach $70,000 on March 31?",2026-03-31 05:00:00.000000 UTC,9,77.0,0.301,0.15,0.81
1800056,"Will Bitcoin reach $70,000 on March 31?",2026-03-31 06:00:00.000000 UTC,6,37.0,0.255,0.12,0.86
1800056,"Will Bitcoin reach $70,000 on March 31?",2026-03-31 07:00:00.000000 UTC,10,1203.0,0.491,0.1,0.88
1800056,"Will Bitcoin reach $70,000 on March 31?",2026-03-31 08:00:00.000000 UTC,2,58.0,0.505,0.05,0.96
1800056,"Will Bitcoin reach $70,000 on March 31?",2026-03-31 09:00:00.000000 UTC,3,29.0,0.337,0.02,0.971
1800056,"Will Bitcoin reach $70,000 on March 31?",2026-03-31 10:00:00.000000 UTC,3,2.0,0.654,0.02,0.971
1800056,"Will Bitcoin reach $70,000 on March 31?",2026-03-31 11:00:00.000000 UTC,4,1881.0,0.97,0.968,0.973
1800056,"Will Bitcoin reach $70,000 on March 31?",2026-03-31 12:00:00.000000 UTC,10,3040.0,0.312,0.021,0.96
1800056,"Will Bitcoin reach $70,000 on March 31?",2026-03-31 13:00:00.000000 UTC,22,1223.0,0.368,0.019,0.983
1800056,"Will Bitcoin reach $70,000 on March 31?",2026-03-31 14:00:00.000000 UTC,9,346.0,0.45,0.022,0.974
1800056,"Will Bitcoin reach $70,000 on March 31?",2026-03-31 15:00:00.000000 UTC,22,10223.0,0.368,0.022,0.978
1800056,"Will Bitcoin reach $70,000 on March 31?",2026-03-31 16:00:00.000000 UTC,43,3318.0,0.582,0.017,0.981
1800056,"Will Bitcoin reach $70,000 on March 31?",2026-03-31 17:00:00.000000 UTC,31,1765.0,0.41,0.05,0.93
1800056,"Will Bitcoin reach $70,000 on March 31?",2026-03-31 18:00:00.000000 UTC,8,20.0,0.034,0.02,0.051
1800056,"Will Bitcoin reach $70,000 on March 31?",2026-03-31 19:00:00.000000 UTC,14,357.0,0.629,0.058,0.96
1800056,"Will Bitcoin reach $70,000 on March 31?",2026-03-31 20:00:00.000000 UTC,23,799.0,0.517,0.032,0.967
1800056,"Will Bitcoin reach $70,000 on March 31?",2026-03-31 21:00:00.000000 UTC,23,1814.0,0.68,0.031,0.962
1800056,"Will Bitcoin reach $70,000 on March 31?",2026-03-31 22:00:00.000000 UTC,9,42.0,0.446,0.017,0.982
1800056,"Will Bitcoin reach $70,000 on March 31?",2026-03-31 23:00:00.000000 UTC,12,2710.0,0.812,0.023,0.979
1800056,"Will Bitcoin reach $70,000 on March 31?",2026-04-01 00:00:00.000000 UTC,23,1439.0,0.645,0.01,0.99
1800056,"Will Bitcoin reach $70,000 on March 31?",2026-04-01 01:00:00.000000 UTC,14,350.0,0.355,0.002,0.99
1800056,"Will Bitcoin reach $70,000 on March 31?",2026-04-01 02:00:00.000000 UTC,13,116.0,0.616,0.004,0.999
1800056,"Will Bitcoin reach $70,000 on March 31?",2026-04-01 03:00:00.000000 UTC,5,1426.0,0.999,0.999,0.999
1800059,"Will Bitcoin reach $69,000 on March 31?",2026-03-31 05:00:00.000000 UTC,1,0.0,0.11,0.11,0.11
1800059,"Will Bitcoin reach $69,000 on March 31?",2026-03-31 06:00:00.000000 UTC,9,126.0,0.423,0.33,0.57
1800059,"Will Bitcoin reach $69,000 on March 31?",2026-03-31 07:00:00.000000 UTC,12,449.0,0.561,0.35,0.68
1800059,"Will Bitcoin reach $69,000 on March 31?",2026-03-31 08:00:00.000000 UTC,4,438.0,0.675,0.21,0.86
1800059,"Will Bitcoin reach $69,000 on March 31?",2026-03-31 09:00:00.000000 UTC,11,41.0,0.085,0.05,0.13
1800059,"Will Bitcoin reach $69,000 on March 31?",2026-03-31 10:00:00.000000 UTC,10,29.0,0.154,0.05,0.92
1800059,"Will Bitcoin reach $69,000 on March 31?",2026-03-31 11:00:00.000000 UTC,8,437.0,0.476,0.06,0.9
1800059,"Will Bitcoin reach $69,000 on March 31?",2026-03-31 12:00:00.000000 UTC,14,8394.0,0.495,0.09,0.91
1800059,"Will Bitcoin reach $69,000 on March 31?",2026-03-31 13:00:00.000000 UTC,26,570.0,0.47,0.1,0.9
1800059,"Will Bitcoin reach $69,000 on March 31?",2026-03-31 14:00:00.000000 UTC,53,475.0,0.375,0.06,0.91
1800059,"Will Bitcoin reach $69,000 on March 31?",2026-03-31 15:00:00.000000 UTC,32,4112.0,0.342,0.07,0.93
1800059,"Will Bitcoin reach $69,000 on March 31?",2026-03-31 16:00:00.000000 UTC,52,2934.0,0.475,0.06,0.94
1800059,"Will Bitcoin reach $69,000 on March 31?",2026-03-31 17:00:00.000000 UTC,112,25203.0,0.434,0.14,0.83
1800059,"Will Bitcoin reach $69,000 on March 31?",2026-03-31 18:00:00.000000 UTC,41,3827.0,0.428,0.17,0.8
1800059,"Will Bitcoin reach $69,000 on March 31?",2026-03-31 19:00:00.000000 UTC,36,1226.0,0.42,0.16,0.8
1800059,"Will Bitcoin reach $69,000 on March 31?",2026-03-31 20:00:00.000000 UTC,46,1859.0,0.434,0.17,0.82
1800059,"Will Bitcoin reach $69,000 on March 31?",2026-03-31 21:00:00.000000 UTC,47,585.0,0.426,0.18,0.83
1800059,"Will Bitcoin reach $69,000 on March 31?",2026-03-31 22:00:00.000000 UTC,50,748.0,0.351,0.15,0.82
1800059,"Will Bitcoin reach $69,000 on March 31?",2026-03-31 23:00:00.000000 UTC,40,477.0,0.363,0.16,0.78
1800059,"Will Bitcoin reach $69,000 on March 31?",2026-04-01 00:00:00.000000 UTC,66,986.0,0.269,0.07,0.9
1800059,"Will Bitcoin reach $69,000 on March 31?",2026-04-01 01:00:00.000000 UTC,35,877.0,0.493,0.03,0.97
1800059,"Will Bitcoin reach $69,000 on March 31?",2026-04-01 02:00:00.000000 UTC,70,5410.0,0.845,0.006,0.995
