event_title,question,volume,created_at,end_date,closed
UEFA Champions League Winner ,Will Ajax win the 2025–26 Champions League?,13373490.72009,2025-07-21 20:58:54.000000 UTC,2026-05-31 00:00:00.000000 UTC,1
Champions League Winner,Will PSV Eindhoven win the UEFA Champions League?,13261779.2282109,2024-09-17 17:30:40.000000 UTC,2025-05-31 12:00:00.000000 UTC,1
UEFA Champions League Winner ,Will Union Saint-Gilloise win the 2025–26 Champions League?,12756397.600714,2025-07-21 20:58:55.000000 UTC,2026-05-31 00:00:00.000000 UTC,1
UEFA Champions League Winner ,Will Benfica win the 2025–26 Champions League?,12346832.550767,2025-07-21 20:58:51.000000 UTC,2026-05-31 00:00:00.000000 UTC,1
UEFA Champions League Winner ,Will Athletic Club win the 2025–26 Champions League?,11867413.991408,2025-07-21 20:58:48.000000 UTC,2026-05-31 00:00:00.000000 UTC,1
UEFA Champions League Winner ,Will Monaco win the 2025–26 Champions League?,9616642.535204,2025-07-21 20:58:50.000000 UTC,2026-05-31 00:00:00.000000 UTC,1
Champions League Winner,Will Liverpool win the UEFA Champions League?,8175076.65724502,2024-09-17 17:28:05.000000 UTC,2026-04-16 00:19:43.000000 UTC,1
UEFA Champions League Winner ,Will Villarreal win the 2025–26 Champions League?,7892075.764682,2025-07-21 20:58:49.000000 UTC,2026-05-31 00:00:00.000000 UTC,1
UEFA Champions League Winner ,Will Eintracht Frankfurt win the 2025–26 Champions League?,7817714.745721,2025-07-21 20:58:50.000000 UTC,2026-05-31 00:00:00.000000 UTC,1
UEFA Champions League Winner ,Will PSG win the 2025–26 Champions League?,7806400.34265306,2025-07-21 20:58:38.000000 UTC,2026-05-31 00:00:00.000000 UTC,0
UEFA Champions League Winner ,Will Inter win the 2025–26 Champions League?,7286054.286861,2025-07-21 20:58:43.000000 UTC,2026-05-31 00:00:00.000000 UTC,1
Champions League Winner,Will Atalanta win the UEFA Champions League?,6978774.16140899,2024-09-17 17:21:35.000000 UTC,2025-05-31 12:00:00.000000 UTC,1
UEFA Champions League Winner ,Will PSV win the 2025–26 Champions League?,6440901.470863,2025-07-21 20:58:52.000000 UTC,2026-05-31 00:00:00.000000 UTC,1
UEFA Champions League Winner ,Will Arsenal win the 2025–26 Champions League?,6270676.819398229,2025-07-21 20:58:40.000000 UTC,2026-05-31 00:00:00.000000 UTC,0
UEFA Champions League Winner ,Will Bayern Munich win the 2025–26 Champions League?,6135015.8948229179,2025-07-21 20:58:42.000000 UTC,2026-05-31 00:00:00.000000 UTC,0
UEFA Champions League Winner ,Will Marseille win the 2025–26 Champions League?,5842226.092289,2025-07-21 20:58:49.000000 UTC,2026-05-31 00:00:00.000000 UTC,1
UEFA Champions League Winner ,Will Liverpool win the 2025–26 Champions League?,5535579.6266940227,2025-07-21 20:58:39.000000 UTC,2026-05-31 00:00:00.000000 UTC,1
UEFA Champions League Winner ,Will Juventus win the 2025–26 Champions League?,5357464.792264,2025-07-21 20:58:45.000000 UTC,2026-05-31 00:00:00.000000 UTC,1
UEFA Champions League Winner ,Will Real Madrid win the 2025–26 Champions League?,5281071.13409185,2025-07-21 20:58:40.000000 UTC,2026-05-31 00:00:00.000000 UTC,1
Champions League Winner,Will Barcelona win the UEFA Champions League?,4850446.481698,2024-09-17 17:22:30.000000 UTC,2026-04-16 00:19:43.000000 UTC,1
UEFA Champions League Winner ,Will Barcelona win the 2025–26 Champions League?,4481226.4268519646,2025-07-21 20:58:39.000000 UTC,2026-05-31 00:00:00.000000 UTC,1
Champions League Winner,Will RB Leipzig win the UEFA Champions League?,4038510.905072,2024-09-17 17:30:59.000000 UTC,2025-05-31 12:00:00.000000 UTC,1
Champions League Winner,Will Real Madrid win the UEFA Champions League?,3859902.662671,2024-09-17 17:31:19.000000 UTC,2025-05-31 12:00:00.000000 UTC,1
UEFA Champions League Winner ,Will Dortmund win the 2025–26 Champions League?,3784244.309109,2025-07-21 20:58:47.000000 UTC,2026-05-31 00:00:00.000000 UTC,1
Champions League Winner,Will Bayern Munich win the UEFA Champions League?,2640292.787106,2024-09-17 17:23:30.000000 UTC,2025-05-31 12:00:00.000000 UTC,1
Champions League Winner,Will Arsenal win the UEFA Champions League?,2584764.936238,2024-09-17 17:20:51.000000 UTC,2025-05-31 12:00:00.000000 UTC,1
Champions League Winner,Will Manchester City win the UEFA Champions League?,2318587.39690199,2024-09-16 22:17:10.000000 UTC,2025-05-31 12:00:00.000000 UTC,1
UEFA Champions League Winner ,Will Napoli win the 2025–26 Champions League?,2082121.876578,2025-07-21 20:58:45.000000 UTC,2026-05-31 00:00:00.000000 UTC,1
Champions League Final: PSG vs. Inter Milan,Champions League Final: PSG vs. Inter Milan,996937.396697,2025-05-07 16:44:52.000000 UTC,2025-05-31 12:00:00.000000 UTC,1
Champions League Quarterfinals: Which team will advance?,Champions LeagueQuarterfinals: Arsenal vs. Real Madrid,639933.013167,2025-03-13 19:05:59.000000 UTC,2025-03-16 12:00:00.000000 UTC,1
Champions League Round of 16: Which team will advance?,Will Real Madrid or Atlético de Madrid advance in the UCL Round of 16?,631368.680851,2025-02-21 19:36:52.000000 UTC,2025-03-12 12:00:00.000000 UTC,1
Champions League Final: 3+ goals?,Champions League Final: 3+ goals?,587930.793954,2025-05-07 17:28:24.000000 UTC,2025-05-31 12:00:00.000000 UTC,1
Champions League: Inter Milan vs. Barcelona (To Advance),Champions League: Inter Milan vs. Barcelona (To Advance),566569.293834,2025-04-17 08:14:50.000000 UTC,2025-05-07 12:00:00.000000 UTC,1
UEFA Champions League: Team to advance to semis,Will Bayern München reach the UEFA Champions League semifinal?,445465.1573460002,2026-03-09 18:03:43.000000 UTC,2026-05-07 00:00:00.000000 UTC,1
Champions League Top Scorer,Will Michael Olise be the top Champions League scorer?,427341.212844,2025-02-24 18:49:07.000000 UTC,2025-05-31 12:00:00.000000 UTC,1
Champions League: Arsenal vs. PSG (To Advance),Champions League: Arsenal vs. PSG (To Advance),374284.848313,2025-04-17 08:21:06.000000 UTC,2025-05-08 12:00:00.000000 UTC,1
UEFA Champions League: Team to advance to semis,Will Paris Saint-Germain (PSG) reach the UEFA Champions League semifinal?,363850.2735199997,2026-03-09 18:03:48.000000 UTC,2026-05-07 00:00:00.000000 UTC,1
Which teams will reach the Round of 16 of the UEFA Champions League?,Will Paris Saint-Germain advance to the Round of 16 in the 2024-25 UEFA Champions League?,349076.33443,2025-01-28 00:30:28.000000 UTC,2025-02-19 12:00:00.000000 UTC,1
UEFA Champions League Winner ,Will Nice win the 2025–26 Champions League?,344379.00715,2025-07-21 20:58:53.000000 UTC,2026-05-31 00:00:00.000000 UTC,1
UEFA Champions League: Team to reach quarter-finals,Will Real Madrid reach the UEFA Champions League quarter-finals?,339439.945852,2026-03-10 17:07:21.000000 UTC,2026-04-16 00:00:00.000000 UTC,1
UEFA Champions League Winner ,Will Feyenoord win the 2025–26 Champions League?,331062.991655,2025-07-21 20:58:54.000000 UTC,2026-05-31 00:00:00.000000 UTC,1
Champions League Top Scorer,Will Lautaro Martinez be the top Champions League scorer?,328679.456817,2025-02-24 18:49:05.000000 UTC,2025-05-31 12:00:00.000000 UTC,1
UEFA Champions League: Top Scorer,Will Mohamed Salah be the 2025/2026 top UCL goal scorer?,312724.20011700009,2025-09-17 18:44:31.000000 UTC,2026-05-30 00:00:00.000000 UTC,1
Which EPL team will qualify for the 2025-26 Champions League?,Will Tottenham Hotspur qualify for the 2025–26 UEFA Champions League?,281138.330376,2025-05-06 23:41:05.000000 UTC,2025-05-25 12:00:00.000000 UTC,1
Champions League Round of 16: Which team will advance?,Will PSV Eindhoven or Arsenal advance in the UCL Round of 16?,271063.681899,2025-02-21 19:37:52.000000 UTC,2025-03-12 12:00:00.000000 UTC,1
Champions League Top Scorer,Will Rodrygo be the top Champions League scorer?,261983.763138,2025-02-24 18:49:10.000000 UTC,2025-05-31 12:00:00.000000 UTC,1
Champions League: League Phase Winner,Will Qarabağ finish first in UCL league phase?,232453.579368,2025-09-17 20:22:07.000000 UTC,2025-12-31 00:00:00.000000 UTC,1
Champions League Final: Goal Scorers,Will Ousmane Dembélé score a goal in the 2025 Champions League Final?,227105.331361,2025-05-21 06:30:03.000000 UTC,2025-05-31 12:00:00.000000 UTC,1
UEFA Champions League: Team to advance to semis,Will Barcelona reach the UEFA Champions League semifinal?,222276.98162099996,2026-03-09 18:03:46.000000 UTC,2026-05-07 00:00:00.000000 UTC,1
UEFA Champions League: Team to advance to semis,Will Real Madrid reach the UEFA Champions League semifinal?,221659.95807299996,2026-03-09 18:03:48.000000 UTC,2026-05-07 00:00:00.000000 UTC,1
Champions League Winner,Will Real Madrid win the 2023-24 Champions League?,207108.720928,2024-01-30 18:52:12.000000 UTC,2024-05-30 00:00:00.000000 UTC,1
Which EPL team will qualify for the 2025-26 Champions League?,Will Manchester United qualify for the 2025–26 UEFA Champions League?,202935.816319,2025-05-06 23:41:49.000000 UTC,2025-05-25 12:00:00.000000 UTC,1
Which teams will reach the Round of 16 of the UEFA Champions League?,Will Stade Brestois advance to the Round of 16 in the 2024-25 UEFA Champions League?,198196.608713,2025-01-28 00:30:22.000000 UTC,2025-02-19 12:00:00.000000 UTC,1
Champions League Winner,Will Atletico Madrid win the 2023-24 Champions League?,197994.793871,2024-01-30 18:52:12.000000 UTC,2024-05-30 00:00:00.000000 UTC,1
Which EPL team will qualify for the 2025-26 Champions League?,Will Aston Villa qualify for the 2025–26 UEFA Champions League?,193720.013363,2025-05-05 23:18:02.000000 UTC,2025-05-25 12:00:00.000000 UTC,1
UEFA Champions League: Team to advance to semis,Will Arsenal reach the UEFA Champions League semifinal?,191561.5844450001,2026-03-09 18:03:42.000000 UTC,2026-05-07 00:00:00.000000 UTC,1
Which teams will reach the Round of 16 of the UEFA Champions League?,Will Manchester City advance to the Round of 16 in the 2024-25 UEFA Champions League?,191534.14027,2025-01-28 00:30:30.000000 UTC,2025-02-19 12:00:00.000000 UTC,1
Champions League Top Scorer,Will Jude Bellingham be the top Champions League scorer?,191198.243633,2025-02-24 18:49:12.000000 UTC,2025-05-31 12:00:00.000000 UTC,1
Champions League Winner,Will Dortmund win the 2023-24 Champions League?,188245.645205,2024-01-30 18:52:12.000000 UTC,2024-05-30 00:00:00.000000 UTC,1
UEFA Champions League: Team to advance to semis,Will Liverpool reach the UEFA Champions League semifinal?,184741.690166,2026-03-09 18:03:44.000000 UTC,2026-05-07 00:00:00.000000 UTC,1
Champions League Final: Man City v. Inter,Champions League Final: Man City v. Inter,175593.743288,2023-06-07 03:10:35.000000 UTC,2023-06-10 00:00:00.000000 UTC,1
Champions League Top Scorer,Will Bukayo Saka be the top Champions League scorer?,172688.46749,2025-02-24 18:49:09.000000 UTC,2025-05-31 12:00:00.000000 UTC,1
UEFA Champions League: Top Scorer,Will de Goes Rodrygo be the 2025/2026 top UCL goal scorer?,172510.33002400002,2025-09-17 18:44:42.000000 UTC,2026-05-30 00:00:00.000000 UTC,1
Champions League Winner,Will Arsenal win the 2023-24 Champions League?,166291.710055,2024-01-30 18:52:12.000000 UTC,2024-05-30 00:00:00.000000 UTC,1
UEFA Champions League: Team to reach final,Will Atlético Madrid reach the UEFA Champions League final?,165298.81943100013,2026-03-05 19:46:21.000000 UTC,2026-05-07 00:00:00.000000 UTC,0
Champions League: Which teams advance to round of 16?,Will Borussia Dortmund advance to the round of 16?,163633.301856,2025-09-17 20:26:28.000000 UTC,2025-12-31 00:00:00.000000 UTC,1
Champions League Round of 16: Which team will advance?,Will Paris Saint-Germain or Liverpool advance in the UCL Round of 16?,162743.135776,2025-02-21 19:41:29.000000 UTC,2025-03-12 12:00:00.000000 UTC,1
Champions League Top Scorer,Will Raphinha be the top Champions League scorer?,160141.070631,2025-02-24 18:49:00.000000 UTC,2025-05-31 12:00:00.000000 UTC,1
Champions League: League Phase Winner,Will Newcastle United finish first in UCL league phase?,158599.791867,2025-09-17 20:22:20.000000 UTC,2025-12-31 00:00:00.000000 UTC,1
UEFA Champions League: Top Scorer,Will Desire Doue be the 2025/2026 top UCL goal scorer?,156224.749893,2025-09-17 18:44:40.000000 UTC,2026-05-30 00:00:00.000000 UTC,0
Champions League Round of 16: Which team will advance?,Will Bayern Munich or Bayer Leverkusen advance in the UCL Round of 16?,155653.881891,2025-02-21 19:40:45.000000 UTC,2025-03-12 12:00:00.000000 UTC,1
UEFA Champions League: Team to reach final,Will Bayern München reach the UEFA Champions League final?,153955.5447789999,2026-03-05 19:46:15.000000 UTC,2026-05-07 00:00:00.000000 UTC,0
How will Champions League Final end?,Will the Champions League Final be decided in regular time?,150755.295544,2025-05-07 20:44:34.000000 UTC,2025-05-31 12:00:00.000000 UTC,1
UEFA Champions League: Team to reach final,Will Paris Saint-Germain (PSG) reach the UEFA Champions League final?,149910.40379599982,2026-03-05 19:46:20.000000 UTC,2026-05-07 00:00:00.000000 UTC,0
Champions League: Which teams advance to round of 16?,Will Inter Milan advance to the round of 16?,148112.739544,2025-09-17 20:26:38.000000 UTC,2025-12-31 00:00:00.000000 UTC,1
Champions League: Which teams advance to round of 16?,Will Galatasaray advance to the round of 16?,147634.771602,2025-09-17 20:26:38.000000 UTC,2025-12-31 00:00:00.000000 UTC,1
Champions League Quarterfinals: Which team will advance?,Champions League Quarterfinals: PSG vs. Aston Villa,147460.953945,2025-03-13 19:06:01.000000 UTC,2025-03-16 12:00:00.000000 UTC,1
Champions League Quarterfinals: Which team will advance?,Champions League Quarterfinals: Bayern vs. Inter Milan,144817.613305,2025-03-13 19:06:00.000000 UTC,2025-03-16 12:00:00.000000 UTC,1
UEFA Champions League: Top Scorer,Will Lamine Yamal be the 2025/2026 top UCL goal scorer?,144468.75974299997,2025-09-17 18:44:34.000000 UTC,2026-05-30 00:00:00.000000 UTC,1
Champions League Quarterfinals: Which team will advance?,Champions League Quarterfinals: Barcelona vs. Dortmund,132481.015339,2025-03-13 19:06:02.000000 UTC,2025-03-16 12:00:00.000000 UTC,1
Champions League Top Scorer,Will Serhou Guirassy be the top Champions League scorer?,131736.69964,2025-02-24 18:48:58.000000 UTC,2025-05-31 12:00:00.000000 UTC,1
Champions League: Which teams advance to round of 16?,Will Bodø/Glimt advance to the round of 16?,129453.118453,2025-09-17 20:26:29.000000 UTC,2025-12-31 00:00:00.000000 UTC,1
Champions League: Which teams advance to round of 16?,Will Club Brugge advance to the round of 16?,127202.662821,2025-09-17 20:26:37.000000 UTC,2025-12-31 00:00:00.000000 UTC,1
Champions League Final: 1st Half Result,Will PSG beat Inter Milan in the first half? ,124944.492494,2025-05-07 19:57:02.000000 UTC,2025-05-31 12:00:00.000000 UTC,1
Champions League: Which teams advance to round of 16?,Will Real Madrid advance to the round of 16?,122400.946632,2025-09-17 20:26:27.000000 UTC,2025-12-31 00:00:00.000000 UTC,1
Champions League Winner,Will Bayern win the 2023-24 Champions League?,120153.174487,2024-01-30 18:52:12.000000 UTC,2024-05-30 00:00:00.000000 UTC,1
UEFA Champions League: Top Scorer,Will Bradley Barcola be the 2025/2026 top UCL goal scorer?,119534.07338000005,2025-09-17 18:44:40.000000 UTC,2026-05-30 00:00:00.000000 UTC,0
Real Madrid vs. Dortmund: Champions League Final,Real Madrid vs. Dortmund: Champions League Final,116808.44387,2024-05-08 22:55:02.000000 UTC,2024-06-01 12:00:00.000000 UTC,1
Champions League Winner,Will PSG win the 2023-24 Champions League?,116248.049257,2024-01-30 18:52:12.000000 UTC,2024-05-30 00:00:00.000000 UTC,1
Champions League Final: 1st Half Result,Will Inter Milan beat PSG in the first half? ,108909.038143,2025-05-07 19:57:02.000000 UTC,2025-05-31 12:00:00.000000 UTC,1
Champions League: League Phase Winner,Will Galatasaray finish first in UCL league phase?,108874.395,2025-09-17 20:22:16.000000 UTC,2025-12-31 00:00:00.000000 UTC,1
Champions League: Which teams advance to round of 16?,Will Newcastle United advance to the round of 16?,108862.978091,2025-09-17 20:26:41.000000 UTC,2025-12-31 00:00:00.000000 UTC,1
UEFA Champions League: Team to reach final,Will Arsenal reach the UEFA Champions League final?,103958.08185299994,2026-03-05 19:46:14.000000 UTC,2026-05-07 00:00:00.000000 UTC,0
UEFA Champions League: Team to advance to semis,Will Atlético Madrid reach the UEFA Champions League semifinal?,101763.52538500004,2026-03-09 18:03:51.000000 UTC,2026-05-07 00:00:00.000000 UTC,1
Champions League: Which teams advance to round of 16?,Will Atlético Madrid advance to the round of 16?,100649.862975,2025-09-17 20:26:34.000000 UTC,2025-12-31 00:00:00.000000 UTC,1
UEFA Champions League: Top Scorer,Will Khvicha Kvaratskhelia be the 2025/2026 top UCL goal scorer?,100438.97412199996,2025-09-17 18:44:45.000000 UTC,2026-05-30 00:00:00.000000 UTC,0
Champions League Winner,Will Lazio win the 2023-24 Champions League?,99000.009998,2024-01-30 18:52:12.000000 UTC,2024-05-30 00:00:00.000000 UTC,1
UEFA Champions League Winner ,Will Basel win the 2025–26 Champions League?,97156.974572,2025-07-21 20:58:58.000000 UTC,2026-05-31 00:00:00.000000 UTC,1
Champions League: Which teams advance to round of 16?,Will Atalanta advance to the round of 16?,96367.367488,2025-09-17 20:26:33.000000 UTC,2025-12-31 00:00:00.000000 UTC,1
UEFA Champions League: Top Scorer,Will Harry Kane be the 2025/2026 top UCL goal scorer?,95279.129694000047,2025-09-17 18:44:32.000000 UTC,2026-05-30 00:00:00.000000 UTC,0
Champions League: Which teams advance to round of 16?,Will Juventus advance to the round of 16?,95185.056946,2025-09-17 20:26:29.000000 UTC,2025-12-31 00:00:00.000000 UTC,1
Champions League Final: 1st Half Result,Will PSG vs. Inter Milan first half result in a draw?,91107.704993,2025-05-07 19:57:03.000000 UTC,2025-05-31 12:00:00.000000 UTC,1
Champions League: Which teams advance to round of 16?,Will Paris Saint-Germain advance to the round of 16?,91044.428601,2025-09-17 20:26:42.000000 UTC,2025-12-31 00:00:00.000000 UTC,1
UEFA Champions League Winner ,Will Fenerbahce win the 2025–26 Champions League?,90340.440239,2025-07-21 20:58:57.000000 UTC,2026-05-31 00:00:00.000000 UTC,1
Champions League: Which teams advance to round of 16?,Will Monaco advance to the round of 16?,87304.479266,2025-09-17 20:26:40.000000 UTC,2025-12-31 00:00:00.000000 UTC,1
UEFA Champions League: Team to advance to semis,Will Sporting CP reach the UEFA Champions League semifinal?,87150.887635999956,2026-03-09 18:03:47.000000 UTC,2026-05-07 00:00:00.000000 UTC,1
UEFA Champions League: Top Scorer,Will Kylian Mbappe be the 2025/2026 top UCL goal scorer?,86341.127301000015,2025-09-17 18:44:30.000000 UTC,2026-05-30 00:00:00.000000 UTC,0
UEFA Champions League: Most Clean Sheets (GK),Will Guglielmo Vicario record the most clean sheets in the 2025-26 UEFA Champions League?,83629.399854000032,2026-02-19 23:48:54.000000 UTC,2026-05-31 00:00:00.000000 UTC,1
Champions League Winner,Will Barcelona win the 2023-24 Champions League?,80980.690267,2024-01-30 18:52:12.000000 UTC,2024-05-30 00:00:00.000000 UTC,1
UEFA Champions League: Most Yellow Cards,Will Lamine Yamal record the most yellow cards in 2025-26 UEFA Champions League?,80784.234113999992,2026-02-20 00:41:09.000000 UTC,2026-05-31 00:00:00.000000 UTC,1
UEFA Champions League: Most Yellow Cards,Will Martín Zubimendi record the most yellow cards in 2025-26 UEFA Champions League?,79466.463316000052,2026-02-20 00:41:10.000000 UTC,2026-05-31 00:00:00.000000 UTC,0
UEFA Champions League: Most Player of the Match Awards,Will Kylian Mbappé record the most Player of the Match awards during the 2025 UEFA Champions League?,78891.577622000012,2026-02-19 22:06:01.000000 UTC,2026-05-31 00:00:00.000000 UTC,1
Champions League Round of 16: Which team will advance?,Will Borussia Dortmund or Lille advance in the UCL Round of 16?,77504.919257,2025-02-21 19:38:46.000000 UTC,2025-03-12 12:00:00.000000 UTC,1
UEFA Champions League Winner ,Will Sturm Graz win the 2025–26 Champions League?,73689.434072,2025-07-21 20:58:59.000000 UTC,2026-05-31 00:00:00.000000 UTC,1
Champions League Round of 16: Which team will advance?,Will Club Brugge or Aston Villa advance in the UCL Round of 16?,71750.164131,2025-02-21 19:35:48.000000 UTC,2025-03-12 12:00:00.000000 UTC,1
Which teams will reach the Round of 16 of the UEFA Champions League?,Will Real Madrid advance to the Round of 16 in the 2024-25 UEFA Champions League?,71570.706352,2025-01-28 00:30:25.000000 UTC,2025-02-19 12:00:00.000000 UTC,1
Champions League: League Phase Winner,Will Borussia Dortmund finish first in UCL league phase?,71009.361742,2025-09-17 20:22:08.000000 UTC,2025-12-31 00:00:00.000000 UTC,1
UEFA Champions League Winner ,Will Celtic win the 2025–26 Champions League?,70447.384549,2025-07-21 20:58:53.000000 UTC,2026-05-31 00:00:00.000000 UTC,1
Champions League Top Scorer,Will Ousmane Dembele be the top Champions League scorer?,70332.019083,2025-02-24 18:49:02.000000 UTC,2025-05-31 12:00:00.000000 UTC,1
Champions League Winner,Will Napoli win the 2023-24 Champions League?,67385.087229,2024-01-30 18:52:12.000000 UTC,2024-05-30 00:00:00.000000 UTC,1
UEFA Champions League Winner ,Will Rangers win the 2025–26 Champions League?,66427.940987,2025-07-21 20:58:56.000000 UTC,2026-05-31 00:00:00.000000 UTC,1
Champions League: League Phase Winner,Will Arsenal finish first in UCL league phase?,64673.610194,2025-09-17 20:22:06.000000 UTC,2025-12-31 00:00:00.000000 UTC,1
Champions League: Which teams advance to round of 16?,Will Benfica advance to the round of 16?,64132.872588,2025-09-17 20:26:43.000000 UTC,2025-12-31 00:00:00.000000 UTC,1
Champions League Winner,Will Man City win the 2023-24 Champions League?,62389.352956,2024-01-30 18:44:18.000000 UTC,2024-05-30 00:00:00.000000 UTC,1
Champions League Top Scorer,Will Robert Lewandowski be the top Champions League scorer?,61910.659116,2025-02-24 18:48:57.000000 UTC,2025-05-31 12:00:00.000000 UTC,1
Champions League: Which teams advance to round of 16?,Will Bayer Leverkusen advance to the round of 16?,57997.903511,2025-09-17 20:26:35.000000 UTC,2025-12-31 00:00:00.000000 UTC,1
Champions League: Which teams advance to round of 16?,Will Qarabağ advance to the round of 16?,57290.958685,2025-09-17 20:26:27.000000 UTC,2025-12-31 00:00:00.000000 UTC,1
Champions League: Barcelona vs PSG,Will PSG win?,56771.995127,2024-04-13 00:04:01.000000 UTC,2024-04-16 12:00:00.000000 UTC,1
Champions League Round of 16: Which team will advance?, Will Benfica or FC Barcelona advance in the UCL Round of 16?,55844.190039,2025-02-21 19:42:36.000000 UTC,2025-03-12 12:00:00.000000 UTC,1
Champions League Top Scorer,Will Jamie Bynoe-Gittens be the top Champions League scorer?,55614.031099,2025-02-24 18:49:11.000000 UTC,2025-05-31 12:00:00.000000 UTC,1
