event_title,question,volume,created_at,end_date,z_score
Champions League Winner,Will Aston Villa win the UEFA Champions League?,133113813.382904,2024-09-17 17:21:16.000000 UTC,2025-05-31 12:00:00.000000 UTC,55.15
Champions League Winner,Will Inter Milan win the UEFA Champions League?,82978657.0443518,2024-09-17 17:27:16.000000 UTC,2025-05-31 12:00:00.000000 UTC,34.36
Champions League Winner,Will Red Star Belgrade win the UEFA Champions League?,69281806.2784465,2024-09-17 17:35:44.000000 UTC,2025-05-31 12:00:00.000000 UTC,28.67
Champions League Winner,Will Paris Saint-Germain win the UEFA Champions League?,51320576.4557441,2024-09-17 17:30:16.000000 UTC,2025-05-31 12:00:00.000000 UTC,21.22
Champions League Winner,Will Bayer Leverkusen win the UEFA Champions League?,46780244.180184,2024-09-17 17:23:02.000000 UTC,2025-05-31 12:00:00.000000 UTC,19.34
Champions League Winner,Will Stade Brestois win the UEFA Champions League?,41179694.4249909,2024-09-17 17:38:07.000000 UTC,2025-05-31 12:00:00.000000 UTC,17.02
2025 National Heads-Up Poker Championship Winner,Will Rob Riggle win the 2025 National Heads-Up Poker Championship?,38337948.635363,2025-08-03 16:20:53.000000 UTC,2025-12-31 22:00:00.000000 UTC,15.84
Champions League Winner,Will Bologna win the UEFA Champions League? ,36952708.8056862,2024-09-17 17:25:01.000000 UTC,2025-05-31 12:00:00.000000 UTC,15.26
Champions League Winner,Will Benfica win the UEFA Champions League?,35397837.4947546,2024-09-17 17:24:01.000000 UTC,2025-05-31 12:00:00.000000 UTC,14.62
Champions League Winner,Will Slovan Bratislava win the UEFA Champions League?,32130923.31674,2024-09-17 17:36:37.000000 UTC,2025-05-31 12:00:00.000000 UTC,13.26
