event_title,question,volume,created_at,end_date,tipo_alerta
2025 National Heads-Up Poker Championship Winner,Will Justin Young win the 2025 National Heads-Up Poker Championship?,6324028.273999,2025-08-03 16:21:25.000000 UTC,2025-12-31 22:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
2025 National Heads-Up Poker Championship Winner,Will Bryn Kenney win the 2025 National Heads-Up Poker Championship?,6288740.32813,2025-08-03 16:21:32.000000 UTC,2025-12-31 22:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
UEFA Champions League Winner ,Will Marseille win the 2025–26 Champions League?,5842226.092289,2025-07-21 20:58:49.000000 UTC,2026-05-31 00:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
UEFA Champions League Winner ,Will Liverpool win the 2025–26 Champions League?,5535579.6266940227,2025-07-21 20:58:39.000000 UTC,2026-05-31 00:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
UEFA Champions League Winner ,Will Juventus win the 2025–26 Champions League?,5357464.792264,2025-07-21 20:58:45.000000 UTC,2026-05-31 00:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
UEFA Champions League Winner ,Will Real Madrid win the 2025–26 Champions League?,5281071.13409185,2025-07-21 20:58:40.000000 UTC,2026-05-31 00:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Champions League Winner,Will Barcelona win the UEFA Champions League?,4850446.481698,2024-09-17 17:22:30.000000 UTC,2026-04-16 00:19:43.000000 UTC,ALTO_VOLUME_ENCERRADO
UEFA Champions League Winner ,Will Barcelona win the 2025–26 Champions League?,4481226.4268519646,2025-07-21 20:58:39.000000 UTC,2026-05-31 00:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
2025 National Heads-Up Poker Championship Winner,Will Tyler Montoya win the 2025 National Heads-Up Poker Championship?,4275232.80396,2025-08-03 16:20:55.000000 UTC,2025-12-31 22:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Champions League Winner,Will RB Leipzig win the UEFA Champions League?,4038510.905072,2024-09-17 17:30:59.000000 UTC,2025-05-31 12:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
2025 National Heads-Up Poker Championship Winner,Will Mike Matusow win the 2025 National Heads-Up Poker Championship?,3988545.637384,2025-08-03 16:20:58.000000 UTC,2025-12-31 22:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Champions League Winner,Will Real Madrid win the UEFA Champions League?,3859902.662671,2024-09-17 17:31:19.000000 UTC,2025-05-31 12:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
World Chess Championship 2024 Winner,World Chess Championship 2024 Winner,3822451.912026,2024-10-28 17:26:59.000000 UTC,2024-12-13 12:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
UEFA Champions League Winner ,Will Dortmund win the 2025–26 Champions League?,3784244.309109,2025-07-21 20:58:47.000000 UTC,2026-05-31 00:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
2025 National Heads-Up Poker Championship Winner,Will Erik Seidel win the 2025 National Heads-Up Poker Championship?,3697234.874479,2025-08-03 16:20:49.000000 UTC,2025-12-31 22:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
2025 National Heads-Up Poker Championship Winner,Will 3 Coin win the 2025 National Heads-Up Poker Championship?,3550835.012236,2025-08-03 16:21:33.000000 UTC,2025-12-31 22:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
2025 National Heads-Up Poker Championship Winner,Will Rob 'Boston Rob' Mariano win the 2025 National Heads-Up Poker Championship?,3466853.187533,2025-08-03 16:20:54.000000 UTC,2025-12-31 22:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
2025 National Heads-Up Poker Championship Winner,Will Brian Rast win the 2025 National Heads-Up Poker Championship?,3306178.870932,2025-08-03 16:21:27.000000 UTC,2025-12-31 22:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Champions League Winner,Will Bayern Munich win the UEFA Champions League?,2640292.787106,2024-09-17 17:23:30.000000 UTC,2025-05-31 12:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Champions League Winner,Will Arsenal win the UEFA Champions League?,2584764.936238,2024-09-17 17:20:51.000000 UTC,2025-05-31 12:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
2025 National Heads-Up Poker Championship Winner,Will John Smith win the 2025 National Heads-Up Poker Championship?,2492191.6462,2025-08-03 16:21:09.000000 UTC,2025-12-31 22:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Champions League Winner,Will Manchester City win the UEFA Champions League?,2318587.39690199,2024-09-16 22:17:10.000000 UTC,2025-05-31 12:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
2025 National Heads-Up Poker Championship Winner,Will Ryan Feldman win the 2025 National Heads-Up Poker Championship?,2151300.848856,2025-08-03 16:21:31.000000 UTC,2025-12-31 22:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
2025 National Heads-Up Poker Championship Winner,Will Michael Mizrachi win the 2025 National Heads-Up Poker Championship?,2146039.152948,2025-08-03 16:20:45.000000 UTC,2025-12-31 22:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
2025 National Heads-Up Poker Championship Winner,Will Phil Laak win the 2025 National Heads-Up Poker Championship?,2139081.002,2025-08-03 16:21:26.000000 UTC,2025-12-31 22:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
UEFA Champions League Winner ,Will Napoli win the 2025–26 Champions League?,2082121.876578,2025-07-21 20:58:45.000000 UTC,2026-05-31 00:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
2025 National Heads-Up Poker Championship Winner,Will Chino Rheem win the 2025 National Heads-Up Poker Championship?,2065992.978235,2025-08-03 16:21:31.000000 UTC,2025-12-31 22:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
2025 National Heads-Up Poker Championship Winner,Will Jason Koon win the 2025 National Heads-Up Poker Championship?,1966855.710617,2025-08-03 16:20:46.000000 UTC,2025-12-31 22:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
2025 National Heads-Up Poker Championship Winner,Will Keith Lehr win the 2025 National Heads-Up Poker Championship?,1649020.27437,2025-08-03 16:21:14.000000 UTC,2025-12-31 22:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
2025 National Heads-Up Poker Championship Winner,Will Victoria Livschitz win the 2025 National Heads-Up Poker Championship?,1522199.6632,2025-08-03 16:21:01.000000 UTC,2025-12-31 22:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Dubai Duty Free Tennis Championships: Mirra Andreeva vs Amanda Anisimova,Dubai Duty Free Tennis Championships: Mirra Andreeva vs Amanda Anisimova,1492484.490956,2026-02-18 11:00:05.000000 UTC,2026-02-27 06:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
2025 National Heads-Up Poker Championship Winner,Will Kevin Pollak win the 2025 National Heads-Up Poker Championship?,1387710.267528,2025-08-03 16:21:06.000000 UTC,2025-12-31 22:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
2025 National Heads-Up Poker Championship Winner,Will Matt Berkey win the 2025 National Heads-Up Poker Championship?,1270148.333583,2025-08-03 16:21:19.000000 UTC,2025-12-31 22:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
2025 National Heads-Up Poker Championship Winner,Will Cary Katz win the 2025 National Heads-Up Poker Championship?,1269337.293012,2025-08-03 16:20:59.000000 UTC,2025-12-31 22:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
2025 National Heads-Up Poker Championship Winner,Will Justin Gavri win the 2025 National Heads-Up Poker Championship?,1219439.644633,2025-08-03 16:21:09.000000 UTC,2025-12-31 22:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
2025 National Heads-Up Poker Championship Winner,Will Nacho Barbero win the 2025 National Heads-Up Poker Championship?,1182429.808755,2025-08-03 16:21:24.000000 UTC,2025-12-31 22:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Dubai Tennis Championships: Felix Auger-Aliassime vs Daniil Medvedev,Dubai Tennis Championships: Felix Auger-Aliassime vs Daniil Medvedev,1037174.463515,2026-02-26 17:00:15.000000 UTC,2026-03-06 13:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Dubai Duty Free Tennis Championships: Elina Svitolina vs Jessica Pegula,Dubai Duty Free Tennis Championships: Elina Svitolina vs Jessica Pegula,1023099.986572,2026-02-20 23:00:07.000000 UTC,2026-02-28 15:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
"Dubai Duty Free Tennis Championships, Qualification: Tereza Valentova vs Kimberly Birrell",Set Handicap: Valentova (-1.5) vs Birrell (+1.5),1022223.585455,2026-02-12 18:00:18.000000 UTC,2026-02-20 10:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Champions League Final: PSG vs. Inter Milan,Champions League Final: PSG vs. Inter Milan,996937.396697,2025-05-07 16:44:52.000000 UTC,2025-05-31 12:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Dubai Tennis Championships: Daniil Medvedev vs Tallon Griekspoor,Dubai Tennis Championships: Daniil Medvedev vs Tallon Griekspoor,995385.126476,2026-02-27 17:00:17.000000 UTC,2026-03-07 10:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Dubai Tennis Championships: Andrey Rublev vs Tallon Griekspoor,Dubai Tennis Championships: Andrey Rublev vs Tallon Griekspoor,983347.247341,2026-02-26 23:00:10.000000 UTC,2026-03-06 15:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
2025 National Heads-Up Poker Championship Winner,Will Sam Soverel win the 2025 National Heads-Up Poker Championship?,954090.956335,2025-08-03 16:21:29.000000 UTC,2025-12-31 22:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
2025 National Heads-Up Poker Championship Winner,Will Sean Winter win the 2025 National Heads-Up Poker Championship?,942165.156791,2025-08-03 16:21:30.000000 UTC,2025-12-31 22:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
US Men's Clay Court Championships: Roman Andres Burruchaga vs Tommy Paul,US Men's Clay Court Championships: Roman Andres Burruchaga vs Tommy Paul,879229.83866499749,2026-04-05 04:00:06.000000 UTC,2026-04-12 19:30:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Dubai Duty Free Tennis Championships: Elina Svitolina vs Coco Gauff,Dubai Duty Free Tennis Championships: Elina Svitolina vs Coco Gauff,780994.251372,2026-02-19 23:00:07.000000 UTC,2026-02-27 15:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Dubai Duty Free Tennis Championships: Coco Gauff vs Elise Mertens,Dubai Duty Free Tennis Championships: Coco Gauff vs Elise Mertens,767278.375397,2026-02-17 17:00:09.000000 UTC,2026-02-25 15:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
2025 National Heads-Up Poker Championship Winner,Will Kristen Foxen win the 2025 National Heads-Up Poker Championship?,752675.696838,2025-08-03 16:21:19.000000 UTC,2025-12-31 22:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Hellenic Championship: Novak Djokovic vs Lorenzo Musetti,Hellenic Championship: Novak Djokovic vs Lorenzo Musetti,740458.709331,2025-11-07 23:00:01.000000 UTC,2025-11-15 15:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
US Men's Clay Court Championships: Ben Shelton vs Zhizhen Zhang,US Men's Clay Court Championships: Ben Shelton vs Zhizhen Zhang,705902.62040900008,2026-03-30 22:00:09.000000 UTC,2026-04-08 15:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
US Men's Clay Court Championships: Adolfo Vallejo vs Tommy Paul,US Men's Clay Court Championships: Adolfo Vallejo vs Tommy Paul,705133.96710699587,2026-03-30 22:00:09.000000 UTC,2026-04-08 15:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Dubai Tennis Championships: Andrey Rublev vs Arthur Rinderknech,Dubai Tennis Championships: Andrey Rublev vs Arthur Rinderknech,649349.495576,2026-02-25 23:00:10.000000 UTC,2026-03-05 15:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Big 10 Championship Game Winner,Will UCLA win the 2025 Big Ten Championship Game?,644837.728206,2025-07-03 18:06:19.000000 UTC,2025-12-08 00:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
US Men's Clay Court Championships: Ben Shelton vs Thiago Agustin Tirante,US Men's Clay Court Championships: Ben Shelton vs Thiago Agustin Tirante,642483.3779920009,2026-04-02 04:00:10.000000 UTC,2026-04-10 16:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Champions League Quarterfinals: Which team will advance?,Champions LeagueQuarterfinals: Arsenal vs. Real Madrid,639933.013167,2025-03-13 19:05:59.000000 UTC,2025-03-16 12:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
2025 National Heads-Up Poker Championship Winner,Will Doug Polk win the 2025 National Heads-Up Poker Championship?,638179.961141,2025-08-03 16:20:49.000000 UTC,2025-12-31 22:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Champions League Round of 16: Which team will advance?,Will Real Madrid or Atlético de Madrid advance in the UCL Round of 16?,631368.680851,2025-02-21 19:36:52.000000 UTC,2025-03-12 12:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
US Men's Clay Court Championships: Tommy Paul vs Frances Tiafoe,US Men's Clay Court Championships: Tommy Paul vs Frances Tiafoe,629503.40611799841,2026-04-04 04:00:04.000000 UTC,2026-04-11 17:30:33.000000 UTC,ALTO_VOLUME_ENCERRADO
US Men's Clay Court Championships: Learner Tien vs Nishesh Basavareddy,US Men's Clay Court Championships: Learner Tien vs Nishesh Basavareddy,628184.19350100041,2026-03-31 22:00:07.000000 UTC,2026-04-08 15:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Hellenic Championship: Sebastian Korda vs Lorenzo Musetti,Hellenic Championship: Sebastian Korda vs Lorenzo Musetti,623399.290884,2025-11-06 17:00:01.000000 UTC,2025-11-14 09:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Champions League Final: 3+ goals?,Champions League Final: 3+ goals?,587930.793954,2025-05-07 17:28:24.000000 UTC,2025-05-31 12:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Dubai Duty Free Tennis Championships: Jessica Pegula vs Amanda Anisimova,Dubai Duty Free Tennis Championships: Jessica Pegula vs Amanda Anisimova,585599.910575,2026-02-19 17:00:07.000000 UTC,2026-02-27 06:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Champions League: Inter Milan vs. Barcelona (To Advance),Champions League: Inter Milan vs. Barcelona (To Advance),566569.293834,2025-04-17 08:14:50.000000 UTC,2025-05-07 12:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
PDC World Darts Championship Winner,Will Luke Littler win the PDC World Darts Championship?,564927.468252,2025-11-24 16:25:41.000000 UTC,2026-01-03 00:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
2024 U.S. Chess Championship Winner,Will Sam Shankland win the 2024 US Chess Championship?,542861.294846,2024-10-14 20:12:07.000000 UTC,2024-10-24 12:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Dubai Duty Free Tennis Championships: Coco Gauff vs Alexandra Eala,Dubai Duty Free Tennis Championships: Coco Gauff vs Alexandra Eala,514550.05582,2026-02-18 23:00:08.000000 UTC,2026-02-26 15:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
US Men's Clay Court Championships: Alex Michelsen vs Alexei Popyrin,US Men's Clay Court Championships: Alex Michelsen vs Alexei Popyrin,513772.997032998,2026-04-01 16:00:06.000000 UTC,2026-04-09 15:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
"US Men's Clay Court Championships, Qualification: Liam Draxl vs Alexis Galarneau","US Men's Clay Court Championships, Qualification: Liam Draxl vs Alexis Galarneau",513561.75856699992,2026-03-28 22:00:18.000000 UTC,2026-04-05 16:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Dubai Duty Free Tennis Championships: Clara Tauson vs Jessica Pegula,Dubai Duty Free Tennis Championships: Clara Tauson vs Jessica Pegula,513153.844828,2026-02-18 11:00:08.000000 UTC,2026-02-27 06:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
2025 National Heads-Up Poker Championship Winner,Will Alan Keating win the 2025 National Heads-Up Poker Championship?,482982.055147,2025-08-03 16:20:54.000000 UTC,2025-12-31 22:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
US Men's Clay Court Championships: Roman Andres Burruchaga vs Brandon Nakashima,US Men's Clay Court Championships: Roman Andres Burruchaga vs Brandon Nakashima,480717.753242002,2026-04-01 22:00:03.000000 UTC,2026-04-09 15:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
2025 Open Championship Winner,Will Scottie Scheffler win The 2025 Open Championship?,466458.131898,2025-02-26 23:56:24.000000 UTC,2025-12-31 12:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Dubai Tennis Championships: Andrey Rublev vs Ugo Humbert,Dubai Tennis Championships: Andrey Rublev vs Ugo Humbert,454590.110963,2026-02-24 23:00:13.000000 UTC,2026-03-04 15:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Dubai Tennis Championships: Jakub Mensik vs Tallon Griekspoor,Dubai Tennis Championships: Jakub Mensik vs Tallon Griekspoor,451823.231414,2026-02-25 23:00:08.000000 UTC,2026-03-05 16:30:00.000000 UTC,ALTO_VOLUME_ENCERRADO
